date	status	project	tags	title	outcome	summary	file
2026-03-03	active	claude-misc	[memory, compaction, search, architecture, knowledge-management]	Building Global Conversation Archives	Created searchable conversation archive system to reduce token usage and preserve context	2026-03-03-memory-system-design.md
2026-03-03	active	claude-misc	[architecture, automation, quality-system, agents, session-management]	Session Quality Automation System	Built team-based autonomous quality check system with correct code review timing	2026-03-03-session-quality-automation.md
2026-03-03	active	claude-misc	[review, fixes, critical-issues, architecture, cleanup]	System Review and Critical Fixes	Fixed all critical issues identified in Opus architectural review	2026-03-03-system-review-fixes.md
2026-03-03	active	claude-misc	[architecture, knowledge-management, memory-system, learning-system, token-efficiency]	Tagged Memory System Design	Created comprehensive tagged memory system with search tools and CLAUDE.md integration	2026-03-03-tagged-memory-system.md
2026-03-04	active	claude-misc	[graphql, kotlin, graphql-kotlin, federation, annotation-processing, spring, reflection]	@FederatedReference: In-Process Federation Routing via Schema Hooks	Implemented `@FederatedReference` annotation that rewires ID fields to resolved federation types at schema generation time via `CustomSchemaGeneratorHooks`	2026-03-04-federated-reference-annotation.md
2026-03-04	active	claude-misc	[architecture, kotlin, graphql, jvm, debugging]	@FederatedReference GraphQL Annotation — In-Process Federation POC	Working POC — `metric: PocEGMetric` rewired from `metricId: String` at schema generation time. Build passing (143 tasks), schema verified, branch pushed.	2026-03-04-federated-reference-graphql-annotation.md
2026-03-04	active	claude-misc	[kotlin, graphql, annotation-reflection, architecture, spring-boot, multi-module]	@FederatedReference — GraphQL Schema Rewiring via Kotlin Annotation	Working `@FederatedReference` annotation that rewires GraphQL schema at generation time to replace ID fields with resolved entity types	2026-03-04-federated-reference-graphql-schema-rewiring.md
2026-03-06	active	claude-misc	[architecture, knowledge-base, knowledge-management, search, shell-scripts, subagent-driven-development]	Knowledge Base System Design and Build	Replaced passive conversations/ archive with curated kb/ system: YAML frontmatter, TSV index, search-kb.sh, audit-kb.sh, SessionStart hook, 90-day lifecycle	2026-03-06-knowledge-base-system-build.md
2026-03-06	active	claude-misc	[memory-system, claude-config, knowledge-base, maintenance, wiremock, ers]	Memory & Archive System Audit and Fix	Comprehensive audit of ~/.claude knowledge system — 10 issues found and fixed via 4 parallel agents	2026-03-06-memory-archive-system-audit.md
2026-03-09	active	claude-misc	[pr-review, skills, github, graphql, automation, bedrock]	PR Reviews Skill: CC Code Review Feature Parity	Updated pr-reviews skill with REVIEW.md checks, GraphQL thread resolution, and pre-existing severity to match CC Code Review managed service	2026-03-09-pr-reviews-skill-cc-feature-parity.md
2026-03-13			[pr-review, review-style, kotlin, react, domain, architecture, testing, baseline]	Bootstrap Review Style — Reviewer Pattern Analysis		2026-03-13-bootstrap-review-style.md
2026-03-13	active	claude-misc	[knowledge-base, search, hooks, session-start, shell-scripts, openviking]	KB System: Medium-tier search, non-project hook, ad-hoc search rules	Added --medium mode to search-kb.sh, fixed SessionStart hook to search all KB entries (not project-scoped), added explicit KB search triggers to CLAUDE.md	2026-03-13-kb-medium-tier-search.md
